ROADWAY_NAME,LATITUDE_IB_CW,LATITUDE_OB_CCW,LONGITUDE_IB_CW,LONGITUDE_OB_CCW,COUNTY_NAME,TOTAL_MINUTES,ENTER_DATE,ENTER_TIME,CLEAR_DATE,CLEAR_TIME,elev_meters
BELTWAY 8-EAST,29.8085,29.8089,-95.1639,-95.1628,Harris,0,8/26/2017,3:56,8/26/2017,3:56,10.1
BELTWAY 8-EAST,29.6656,29.6656,-95.1558,-95.1556,Harris,357,8/26/2017,8:06,8/26/2017,14:03,8.88
BELTWAY 8-EAST,29.883000000000003,29.883000000000003,-95.1984,-95.1984,Harris,4745,8/27/2017,1:50,8/30/2017,8:55,14.32
BELTWAY 8-EAST,29.883000000000003,29.883000000000003,-95.1984,-95.1984,Harris,4351,8/27/2017,8:49,8/30/2017,9:20,14.32
BELTWAY 8-EAST,29.6498,29.6498,-95.1562,-95.1561,Harris,4138,8/27/2017,11:55,8/30/2017,8:53,9.61
BELTWAY 8-EAST,29.8085,29.8089,-95.1639,-95.1628,Harris,5563,8/27/2017,20:44,8/31/2017,17:27,10.1
BELTWAY 8-NORTH,29.9396,29.9403,-95.3034,-95.3034,Harris,419,8/26/2017,8:44,8/26/2017,15:43,21.48
BELTWAY 8-NORTH,29.9392,29.9393,-95.3313,-95.3313,Harris,63,8/26/2017,8:46,8/26/2017,9:49,16.86
BELTWAY 8-NORTH,29.9392,29.9393,-95.3313,-95.3313,Harris,61,8/26/2017,8:47,8/26/2017,9:48,16.86
BELTWAY 8-NORTH,29.9397,29.9402,-95.296,-95.2957,Harris,4918,8/27/2017,0:19,8/30/2017,10:17,18.34
BELTWAY 8-NORTH,29.9387,29.9389,-95.3812,-95.3813,Harris,4076,8/27/2017,0:23,8/29/2017,20:19,18.62
BELTWAY 8-NORTH,29.9387,29.9389,-95.3812,-95.3813,Harris,5330,8/27/2017,0:27,8/30/2017,17:17,18.62
BELTWAY 8-NORTH,29.9387,29.9389,-95.3812,-95.3813,Harris,3602,8/27/2017,3:08,8/29/2017,15:10,18.62
BELTWAY 8-NORTH,29.9387,29.9389,-95.3812,-95.3813,Harris,3457,8/27/2017,5:31,8/29/2017,15:08,18.62
BELTWAY 8-NORTH,29.9387,29.9389,-95.3812,-95.3813,Harris,4485,8/27/2017,5:33,8/30/2017,8:18,18.62
BELTWAY 8-NORTH,29.9391,29.9394,-95.3972,-95.3971,Harris,3313,8/27/2017,5:49,8/29/2017,13:02,25.75
BELTWAY 8-NORTH,29.9405,29.9407,-95.4138,-95.4138,Harris,4650,8/27/2017,5:49,8/30/2017,11:19,23.53
BELTWAY 8-NORTH,29.9391,29.9394,-95.3972,-95.3971,Harris,3312,8/27/2017,5:50,8/29/2017,13:02,25.75
BELTWAY 8-NORTH,29.9387,29.9389,-95.3812,-95.3813,Harris,3277,8/27/2017,8:31,8/29/2017,15:08,18.62
BELTWAY 8-NORTH,29.9387,29.9389,-95.3812,-95.3813,Harris,3239,8/27/2017,9:10,8/29/2017,15:09,18.62
BELTWAY 8-NORTH,29.9387,29.9389,-95.3812,-95.3813,Harris,2629,8/27/2017,19:20,8/29/2017,15:09,18.62
BELTWAY 8-NORTH,29.9387,29.9389,-95.3812,-95.3813,Harris,2944,8/27/2017,19:21,8/29/2017,20:25,18.62
BELTWAY 8-NORTH,29.9396,29.9398,-95.4246,-95.4246,Harris,2701,8/27/2017,23:20,8/29/2017,20:21,26.81
BELTWAY 8-SOUTH,29.598883,29.598883,-95.35329300000001,-95.35329300000001,Harris,5025,8/26/2017,21:35,8/30/2017,9:20,16.02
BELTWAY 8-SOUTH,29.598883,29.598883,-95.35329300000001,-95.35329300000001,Harris,5084,8/26/2017,21:34,8/30/2017,10:18,16.02
BELTWAY 8-SOUTH,29.600908,29.600908,-95.228645,-95.228645,Harris,4850,8/26/2017,23:32,8/30/2017,8:22,10.98
BELTWAY 8-SOUTH,29.605712,29.605712,-95.477028,-95.477028,Harris,4442,8/27/2017,5:52,8/30/2017,7:54,18.66
BELTWAY 8-SOUTH,29.605712,29.605712,-95.477028,-95.477028,Harris,4281,8/27/2017,8:32,8/30/2017,7:53,18.66
BELTWAY 8-SOUTH,29.605712,29.605712,-95.477028,-95.477028,Harris,4281,8/27/2017,8:34,8/30/2017,7:55,18.66
BELTWAY 8-WEST,29.6261,29.6263,-95.5181,-95.5176,Harris,140,8/26/2017,1:25,8/26/2017,3:45,15.5
BELTWAY 8-WEST,29.737,29.7369,-95.5575,-95.5577,Harris,1370,8/26/2017,20:52,8/27/2017,19:42,22.51
BELTWAY 8-WEST,29.6535,29.6537,-95.5505,-95.5501,Harris,2351,8/26/2017,21:11,8/28/2017,12:22,21.77
BELTWAY 8-WEST,29.6204,29.6207,-95.5085,-95.5084,Harris,90,8/26/2017,21:20,8/26/2017,22:50,20.52
BELTWAY 8-WEST,29.831999999999997,29.831999999999997,-95.5637,-95.5639,Harris,3917,8/26/2017,22:21,8/29/2017,15:38,29.93
BELTWAY 8-WEST,29.8673,29.8673,-95.5637,-95.5637,Harris,4923,8/26/2017,22:22,8/30/2017,8:25,31.66
BELTWAY 8-WEST,29.831999999999997,29.831999999999997,-95.5637,-95.5639,Harris,4164,8/26/2017,22:43,8/29/2017,20:07,29.93
BELTWAY 8-WEST,29.7477,29.7477,-95.5577,-95.5579,Harris,5635,8/27/2017,11:48,8/31/2017,9:43,22.43
BELTWAY 8-WEST,29.8503,29.8503,-95.5637,-95.5639,Harris,813,8/29/2017,15:28,8/30/2017,5:01,30.84
BS-290,30.084159999999997,30.084159999999997,-96.03971,-96.03971,Waller,5423,8/27/2017,20:53,8/31/2017,15:16,67.2
FM-1092,29.591007,29.591007,-95.56416899999999,-95.56416899999999,Fort_Bend,5584,8/26/2017,21:23,8/30/2017,18:27,21.35
FM-1092,29.591007,29.591007,-95.56416899999999,-95.56416899999999,Fort_Bend,5583,8/26/2017,21:24,8/30/2017,18:27,21.35
FM-1093,29.699102000000003,29.699102000000003,-95.79223,-95.79223,Fort_Bend,2583,8/28/2017,23:29,8/30/2017,18:32,35.72
FM-1093,29.703190000000003,29.703190000000003,-95.7429,-95.7429,Fort_Bend,2582,8/28/2017,23:30,8/30/2017,18:32,30.18
FM-1128,29.5005,29.5005,-95.34189,-95.34189,Brazoria,4970,8/27/2017,20:04,8/31/2017,6:54,17.01
FM-1128,29.5005,29.5005,-95.34189,-95.34189,Brazoria,4963,8/27/2017,20:09,8/31/2017,6:52,17.01
FM-1458,29.835520000000002,29.835520000000002,-96.03345,-96.03345,Waller,4411,8/28/2017,16:01,8/31/2017,17:32,39.98
FM-1458,29.809009999999997,29.809009999999997,-96.09581999999999,-96.09581999999999,Waller,4409,8/28/2017,16:07,8/31/2017,17:36,32.39
FM-1459,29.07855,29.07855,-95.6892,-95.6892,Brazoria,5667,8/27/2017,19:17,8/31/2017,17:44,9.34
FM-1459,29.07855,29.07855,-95.6892,-95.6892,Brazoria,5668,8/27/2017,19:18,8/31/2017,17:46,9.34
FM-1459,29.09771,29.09771,-95.68999000000001,-95.68999000000001,Brazoria,4699,8/28/2017,11:24,8/31/2017,17:43,9.72
FM-1462,29.313995000000002,29.313995000000002,-95.716061,-95.716061,Fort_Bend,4657,8/27/2017,12:56,8/30/2017,18:33,18.48
FM-1462,29.313995000000002,29.313995000000002,-95.716061,-95.716061,Fort_Bend,4657,8/27/2017,12:58,8/30/2017,18:35,18.48
FM-1462,29.298226,29.298226,-95.73357800000001,-95.73357800000001,Brazoria,3592,8/29/2017,1:54,8/31/2017,13:46,21.34
FM-1463,29.727921000000002,29.727921000000002,-95.84628199999999,-95.84628199999999,Fort_Bend,4011,8/28/2017,23:06,8/31/2017,17:57,41.73
FM-1464,29.662862,29.662862,-95.686577,-95.686577,Fort_Bend,5682,8/26/2017,19:54,8/30/2017,18:36,27.55
FM-1464,29.662862,29.662862,-95.686577,-95.686577,Fort_Bend,5681,8/26/2017,19:56,8/30/2017,18:37,27.55
FM-1488,30.17543,30.17543,-95.87293000000001,-95.87293000000001,Waller,6589,8/27/2017,4:10,8/31/2017,17:59,84.2
FM-1488,30.22439791,30.22439143,-95.54742799,-95.54742799,Montgomery,5344,8/27/2017,15:23,8/31/2017,8:27,59.92
FM-1488,30.109740000000002,30.109740000000002,-96.03251999999999,-96.03251999999999,Waller,4953,8/28/2017,7:28,8/31/2017,18:01,64
FM-1764,29.40271,29.40271,-95.03284000000001,-95.03284000000001,Galveston,5144,8/27/2017,1:21,8/30/2017,15:05,10.58
FM-1887,29.95015,29.95015,-96.03907,-96.03907,Waller,4996,8/28/2017,7:15,8/31/2017,18:31,53.75
FM-1887,30.05354,30.05354,-96.08144,-96.08144,Waller,4474,8/28/2017,15:58,8/31/2017,18:32,62.58
FM-1887,30.05354,30.05354,-96.08144,-96.08144,Waller,4452,8/28/2017,16:00,8/31/2017,18:12,62.58
FM-1960,30.014257,30.014257,-95.4506,-95.4506,Harris,5190,8/27/2017,1:57,8/30/2017,16:27,34.48
FM-1960,30.022921999999998,30.022921999999998,-95.089959,-95.089959,Harris,3332,8/28/2017,8:55,8/30/2017,16:27,21.46
FM-2090,30.232540000000004,30.232540000000004,-95.16471,-95.16471,Montgomery,433,8/26/2017,8:25,8/26/2017,15:38,31.03
FM-2855,29.874209999999998,29.874209999999998,-95.89059,-95.89059,Waller,4465,8/28/2017,16:13,8/31/2017,18:38,54.69
FM-2855,29.874209999999998,29.874209999999998,-95.89059,-95.89059,Waller,4464,8/28/2017,16:14,8/31/2017,18:38,54.69
FM-2855,29.78602,29.78602,-95.88961,-95.88961,Waller,4462,8/28/2017,16:19,8/31/2017,18:41,48.02
FM-2855,29.78602,29.78602,-95.88961,-95.88961,Waller,4460,8/28/2017,16:20,8/31/2017,18:40,48.02
FM-2919,29.489656,29.489656,-96.026127,-96.026127,Fort_Bend,4082,8/28/2017,23:02,8/31/2017,19:04,35.21
FM-2920,30.086976,30.086976,-95.65319000000001,-95.65319000000001,Harris,5768,8/26/2017,16:21,8/30/2017,16:29,53.79
FM-2920,30.089319,30.089319,-95.645204,-95.645204,Harris,5767,8/26/2017,16:23,8/30/2017,16:30,53.83
FM-2920,30.06823,30.06823,-95.78101600000001,-95.78101600000001,Harris,5520,8/26/2017,20:28,8/30/2017,16:28,67.28
FM-2920,30.06823,30.06823,-95.78101600000001,-95.78101600000001,Harris,5521,8/26/2017,20:28,8/30/2017,16:29,67.28
FM-2977,29.452059999999996,29.452059999999996,-95.790548,-95.790548,Fort_Bend,2621,8/28/2017,23:06,8/30/2017,18:47,23.33
FM-2977,29.475505,29.475505,-95.76467,-95.76467,Fort_Bend,2621,8/28/2017,23:07,8/30/2017,18:48,23.42
FM-362,30.186320000000002,30.186320000000002,-95.9321,-95.9321,Waller,6730,8/27/2017,2:59,8/31/2017,19:09,85.62
FM-517,29.46072726,29.46073959,-95.05178991,-95.05178991,Galveston,3753,8/28/2017,0:41,8/30/2017,15:14,3.72
FM-518,29.533125,29.533125,-95.024913,-95.024913,Galveston,2443,8/28/2017,22:19,8/30/2017,15:02,3.73
FM-518,29.533125,29.533125,-95.024913,-95.024913,Galveston,2439,8/28/2017,22:23,8/30/2017,15:02,3.73
FM-521,29.43889,29.43889,-95.47662,-95.47662,Brazoria,6179,8/26/2017,23:56,8/31/2017,6:55,18.28
FM-521,29.35401,29.35401,-95.46231999999999,-95.46231999999999,Brazoria,3921,8/28/2017,13:33,8/31/2017,6:54,15.56
FM-522,29.07855,29.07855,-95.6892,-95.6892,Brazoria,4232,8/28/2017,19:18,8/31/2017,17:50,9.34
FM-529,29.9122,29.9122,-96.07184000000001,-96.07184000000001,Waller,4271,8/28/2017,15:59,8/31/2017,15:10,51.59
FM-529,29.91527,29.91527,-96.11339,-96.11339,Waller,4512,8/28/2017,16:04,8/31/2017,19:16,33.13
FM-529,29.87412,29.87412,-95.95993,-95.95993,Waller,4254,8/28/2017,16:14,8/31/2017,15:08,57.52
FM-529,29.87425,29.87425,-95.89059,-95.89059,Waller,4583,8/28/2017,16:15,8/31/2017,20:38,54.69
HARDY TOLL ROAD,29.965365999999996,29.965365999999996,-95.380081,-95.380081,Harris,4682,8/26/2017,23:04,8/30/2017,5:06,25.49
HARDY TOLL ROAD,29.828891,29.828891,-95.354715,-95.354715,Harris,5462,8/26/2017,23:18,8/30/2017,18:20,13.99
HARDY TOLL ROAD,29.965365999999996,29.965365999999996,-95.380081,-95.380081,Harris,3821,8/26/2017,23:39,8/29/2017,15:20,25.49
HARDY TOLL ROAD,29.828891,29.828891,-95.354715,-95.354715,Harris,5438,8/26/2017,23:41,8/30/2017,18:19,13.99
HARDY TOLL ROAD,29.965365999999996,29.965365999999996,-95.380081,-95.380081,Harris,2128,8/26/2017,23:47,8/28/2017,11:15,25.49
HARDY TOLL ROAD,29.938813,29.938813,-95.38131899999999,-95.38131899999999,Harris,5326,8/27/2017,0:26,8/30/2017,17:12,18.48
HARDY TOLL ROAD,29.938813,29.938813,-95.38131899999999,-95.38131899999999,Harris,5332,8/27/2017,0:24,8/30/2017,17:16,18.48
HARDY TOLL ROAD,29.870715999999998,29.870715999999998,-95.364874,-95.364874,Harris,4278,8/27/2017,5:48,8/30/2017,5:06,22.56
HARDY TOLL ROAD,29.870715999999998,29.870715999999998,-95.364874,-95.364874,Harris,3315,8/27/2017,8:04,8/29/2017,15:19,22.56
HARDY TOLL ROAD,29.938813,29.938813,-95.38131899999999,-95.38131899999999,Harris,3286,8/27/2017,8:35,8/29/2017,15:21,18.48
HARDY TOLL ROAD,29.902209000000003,29.902209000000003,-95.372782,-95.372782,Harris,4091,8/27/2017,8:56,8/30/2017,5:07,22.94
HARDY TOLL ROAD,29.996,29.996,-95.396977,-95.396977,Harris,3226,8/27/2017,9:31,8/29/2017,15:17,30.3
HARDY TOLL ROAD,30.026642,30.026642,-95.40443,-95.40443,Harris,4054,8/27/2017,10:50,8/30/2017,6:24,23.17
HARDY TOLL ROAD,29.996,29.996,-95.396977,-95.396977,Harris,3931,8/27/2017,11:34,8/30/2017,5:05,30.3
HARDY TOLL ROAD,29.996,29.996,-95.396977,-95.396977,Harris,2971,8/27/2017,11:35,8/29/2017,13:06,30.3
HARDY TOLL ROAD,30.022584000000002,30.022584000000002,-95.404613,-95.404613,Harris,2156,8/28/2017,1:10,8/29/2017,13:06,28.44
HARDY TOLL ROAD,30.026642,30.026642,-95.40443,-95.40443,Harris,3112,8/28/2017,1:11,8/30/2017,5:03,23.17
HARDY TOLL ROAD,30.105703000000002,30.105703000000002,-95.435041,-95.435041,Harris,3113,8/28/2017,1:11,8/30/2017,5:04,41.25
HARDY TOLL ROAD,30.087770000000003,30.087770000000003,-95.412876,-95.412876,Harris,3112,8/28/2017,1:12,8/30/2017,5:04,32.55
HARDY TOLL ROAD,30.026642,30.026642,-95.40443,-95.40443,Harris,537,8/30/2017,5:09,8/30/2017,14:06,23.17
IH-10,29.779003000000003,29.779003000000003,-95.951424,-95.951424,Waller,5314,8/26/2017,2:47,8/29/2017,19:21,53.99
IH-10,29.777419000000002,29.777419000000002,-95.83237,-95.83237,Fort_Bend,3571,8/27/2017,21:27,8/30/2017,8:58,40.43
IH-10,29.779003000000003,29.779003000000003,-95.951424,-95.951424,Waller,3601,8/27/2017,22:04,8/30/2017,10:05,53.99
IH-10,29.77753,29.77753,-95.819688,-95.819688,Fort_Bend,2679,8/27/2017,22:41,8/29/2017,19:20,42.99
IH-10,29.7644,29.7644,-96.1527,-96.1527,Austin,3908,8/27/2017,22:14,8/30/2017,15:22,52.76
IH-10,29.7644,29.7644,-96.1527,-96.1527,Austin,2263,8/27/2017,22:20,8/29/2017,12:03,52.76
IH-10,29.77735,29.77735,-95.88115,-95.88115,Waller,1526,8/28/2017,9:39,8/29/2017,11:05,47.18
IH-10,29.77735,29.77735,-95.88115,-95.88115,Waller,3902,8/28/2017,9:43,8/31/2017,2:45,47.18
IH-10,29.821601,29.821601,-94.899159,-94.899159,Chambers,4849,8/28/2017,12:09,8/31/2017,20:58,8.8
IH-10,29.782057000000002,29.782057000000002,-95.984576,-95.984576,Waller,4157,8/28/2017,16:03,8/31/2017,13:20,34.22
IH-10,29.779003000000003,29.779003000000003,-95.951424,-95.951424,Waller,2524,8/28/2017,16:02,8/30/2017,10:06,53.99
IH-10,29.779003000000003,29.779003000000003,-95.951424,-95.951424,Waller,1829,8/28/2017,16:03,8/29/2017,22:32,53.99
IH-10,29.7712,29.7712,-96.036,-96.036,Austin,4585,8/28/2017,16:06,8/31/2017,20:31,27.69
IH-10,29.771227000000003,29.771227000000003,-96.035924,-96.035924,Waller,4585,8/28/2017,16:06,8/31/2017,20:31,27.69
IH-10 EAST,29.79234172,29.79233977,-95.07967835,-95.07967835,Harris,122,8/26/2017,5:04,8/26/2017,7:06,1.12
IH-10 EAST,29.79234172,29.79233977,-95.07967835,-95.07967835,Harris,118,8/26/2017,5:08,8/26/2017,7:06,1.12
IH-10 EAST,29.7707,29.7706,-95.2137,-95.2137,Harris,55,8/26/2017,8:45,8/26/2017,9:40,6.85
IH-10 EAST,29.7707,29.7706,-95.2137,-95.2137,Harris,53,8/26/2017,8:49,8/26/2017,9:42,6.85
IH-10 EAST,29.7707,29.7706,-95.2137,-95.2137,Harris,146,8/26/2017,11:00,8/26/2017,13:26,6.85
IH-10 EAST,29.7713,29.7711,-95.1534,-95.1534,Harris,145,8/26/2017,11:37,8/26/2017,14:02,4.33
IH-10 EAST,29.79234172,29.79233977,-95.07967835,-95.07967835,Harris,7138,8/26/2017,11:43,8/31/2017,10:41,1.12
IH-10 EAST,29.77143124,29.77146849,-95.19704627,-95.19704627,Harris,6652,8/26/2017,19:16,8/31/2017,10:08,-0.12
IH-10 EAST,29.7781,29.7779,-95.28399999999999,-95.28399999999999,Harris,65,8/26/2017,20:00,8/26/2017,21:05,12.03
IH-10 EAST,29.79234172,29.79233977,-95.07967835,-95.07967835,Harris,6530,8/26/2017,21:53,8/31/2017,10:43,1.12
IH-10 EAST,29.7771,29.7768,-95.2719,-95.272,Harris,3808,8/26/2017,23:49,8/29/2017,15:17,9.36
