,TXDOT_INCIDENT_ID,TXDOT_INCIDENT_STATUS,MAP_DISPATCHED,DETECTED_BY,VISIBILITY
0,483403,Cleared,1,8,0
1,483428,Cleared,1,10,0
2,483678,Cleared,1,9,0
3,483768,Cleared,1,10,0
4,483798,Cleared,1,8,1
5,483893,Cleared,1,2,1
6,483438,Cleared,1,9,1
7,483440,Cleared,1,9,1
8,483441,Cleared,1,9,1
9,483649,Cleared,1,10,0
10,483650,Cleared,1,10,0
11,483653,Cleared,1,10,0
12,483691,Cleared,1,9,0
13,483705,Cleared,1,8,0
14,483708,Cleared,1,8,0
15,483716,Cleared,1,10,0
16,483715,Cleared,1,3,0
17,483717,Cleared,1,10,0
18,483759,Cleared,1,10,0
19,483774,Cleared,1,10,0
20,483872,Cleared,1,9,0
21,483873,Cleared,1,9,0
22,483911,Cleared,1,2,0
23,483549,Cleared,1,9,1
24,483548,Cleared,1,9,1
25,483623,Cleared,1,9,0
26,483718,Cleared,1,10,0
27,483760,Cleared,1,10,0
28,483761,Cleared,1,10,0
29,483395,Cleared,1,9,1
30,483528,Cleared,1,9,0
31,483533,Cleared,1,9,1
32,483537,Cleared,1,9,1
33,483582,Cleared,1,2,1
34,483583,Cleared,1,9,1
35,483595,Cleared,1,2,1
36,483791,Cleared,1,10,0
37,484027,Cleared,1,8,0
38,483894,Cleared,1,9,1
39,483539,Cleared,1,8,1
40,483542,Cleared,1,8,1
41,483994,Cleared,1,9,1
42,483996,Cleared,1,9,1
43,483883,Cleared,1,8,0
44,483884,Cleared,1,8,0
45,483946,Cleared,1,9,1
46,483952,Cleared,1,9,1
47,483870,Cleared,1,9,0
48,483871,Cleared,1,9,0
49,483935,Cleared,1,9,0
50,483810,Cleared,1,9,0
51,483812,Cleared,1,9,0
52,484005,Cleared,1,9,0
53,483985,Cleared,1,9,1
54,483509,Cleared,1,8,1
55,483510,Cleared,1,8,1
56,483696,Cleared,1,9,0
57,483828,Cleared,1,9,0
58,483925,Cleared,1,9,0
59,483672,Cleared,1,8,1
60,483924,Cleared,1,9,0
61,483943,Cleared,1,9,0
62,483945,Cleared,1,9,0
63,483680,Cleared,1,9,0
64,483927,Cleared,1,9,0
65,483434,Cleared,1,8,0
66,483953,Cleared,1,9,0
67,483955,Cleared,1,9,0
68,483957,Cleared,1,9,0
69,483958,Cleared,1,9,0
70,483981,Cleared,1,10,0
71,483489,Cleared,1,10,0
72,483490,Cleared,1,9,1
73,483520,Cleared,1,9,0
74,483521,Cleared,1,9,0
75,483984,Cleared,1,10,0
76,483986,Cleared,1,10,0
77,483690,Cleared,1,8,0
78,483914,Cleared,1,4,0
79,483977,Cleared,1,8,1
80,483979,Cleared,1,8,1
81,483640,Cleared,1,9,0
82,483938,Cleared,1,9,0
83,483970,Cleared,1,8,0
84,483944,Cleared,1,9,1
85,483950,Cleared,1,9,1
86,483954,Cleared,1,9,1
87,483956,Cleared,1,9,1
88,483607,Cleared,1,10,0
89,483613,Cleared,1,8,0
90,483628,Cleared,1,10,0
91,483630,Cleared,1,10,0
92,483635,Cleared,1,10,0
93,483652,Cleared,1,10,0
94,483651,Cleared,1,10,0
95,483714,Cleared,1,10,0
96,483752,Cleared,1,10,0
97,483762,Cleared,1,10,0
98,483770,Cleared,1,10,0
99,483775,Cleared,1,10,0
100,483780,Cleared,1,9,0
101,483786,Cleared,1,10,0
102,483787,Cleared,1,10,0
103,483917,Cleared,1,8,0
104,483918,Cleared,1,9,0
105,483919,Cleared,1,9,0
106,483920,Cleared,1,8,0
107,484045,Cleared,1,10,0
108,483401,Cleared,1,8,0
109,483897,Cleared,1,9,0
110,483898,Cleared,1,2,1
111,483909,Cleared,1,2,1
112,483900,Cleared,1,10,1
113,483903,Cleared,1,10,1
114,483930,Cleared,1,2,0
115,483931,Cleared,1,9,0
116,483937,Cleared,1,9,0
