,ROADWAY_NAME,TXDOT_ROADWAY_DIRECTION,TXDOT_CROSS_STREET_QUAL,CROSS_STREET_NAME,LATITUDE_IB_CW,LATITUDE_OB_CCW,LONGITUDE_IB_CW,LONGITUDE_OB_CCW,COUNTY_NAME
0,BELTWAY 8-EAST,Southbound,At,WALLISVILLE,29.8085,29.8089,-95.1639,-95.1628,Harris
1,BELTWAY 8-EAST,Northbound,At,SPENCER HWY,29.6656,29.6656,-95.1558,-95.1556,Harris
2,BELTWAY 8-EAST,Northbound,At,GARRETT,29.883000000000003,29.883000000000003,-95.1984,-95.1984,Harris
3,BELTWAY 8-EAST,Southbound,At,GARRETT,29.883000000000003,29.883000000000003,-95.1984,-95.1984,Harris
4,BELTWAY 8-EAST,Northbound,At,FAIRMONT PKWY,29.6498,29.6498,-95.1562,-95.1561,Harris
5,BELTWAY 8-EAST,Southbound,At,WALLISVILLE,29.8085,29.8089,-95.1639,-95.1628,Harris
6,BELTWAY 8-NORTH,Eastbound,At,LEE RD,29.9396,29.9403,-95.3034,-95.3034,Harris
7,BELTWAY 8-NORTH,Eastbound,At,JOHN F KENNEDY BLVD,29.9392,29.9393,-95.3313,-95.3313,Harris
8,BELTWAY 8-NORTH,Westbound,At,JOHN F KENNEDY BLVD,29.9392,29.9393,-95.3313,-95.3313,Harris
9,BELTWAY 8-NORTH,Westbound,At,IH-69 EASTEX,29.9397,29.9402,-95.296,-95.2957,Harris
10,BELTWAY 8-NORTH,Eastbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris
11,BELTWAY 8-NORTH,Westbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris
12,BELTWAY 8-NORTH,Westbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris
13,BELTWAY 8-NORTH,Eastbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris
14,BELTWAY 8-NORTH,Westbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris
15,BELTWAY 8-NORTH,Westbound,At,IMPERIAL VALLEY DR,29.9391,29.9394,-95.3972,-95.3971,Harris
16,BELTWAY 8-NORTH,Eastbound,At,IH-45 NORTH,29.9405,29.9407,-95.4138,-95.4138,Harris
17,BELTWAY 8-NORTH,Eastbound,At,IMPERIAL VALLEY DR,29.9391,29.9394,-95.3972,-95.3971,Harris
18,BELTWAY 8-NORTH,Eastbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris
19,BELTWAY 8-NORTH,Westbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris
20,BELTWAY 8-NORTH,Eastbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris
21,BELTWAY 8-NORTH,Westbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris
22,BELTWAY 8-NORTH,Eastbound,At,GREENS CROSSING BLVD,29.9396,29.9398,-95.4246,-95.4246,Harris
23,BELTWAY 8-SOUTH,Eastbound,At,FM-865 CULLEN BLVD,29.598883,29.598883,-95.35329300000001,-95.35329300000001,Harris
24,BELTWAY 8-SOUTH,Westbound,At,FM-865 CULLEN BLVD,29.598883,29.598883,-95.35329300000001,-95.35329300000001,Harris
25,BELTWAY 8-SOUTH,Westbound,At,BEAMER,29.600908,29.600908,-95.228645,-95.228645,Harris
26,BELTWAY 8-SOUTH,Westbound,At,W. FUQUA,29.605712,29.605712,-95.477028,-95.477028,Harris
27,BELTWAY 8-SOUTH,Westbound,At,W. FUQUA,29.605712,29.605712,-95.477028,-95.477028,Harris
28,BELTWAY 8-SOUTH,Eastbound,At,W. FUQUA,29.605712,29.605712,-95.477028,-95.477028,Harris
29,BELTWAY 8-WEST,Northbound,At,US-90 ALTERNATE S. MAIN,29.6261,29.6263,-95.5181,-95.5176,Harris
30,BELTWAY 8-WEST,Southbound,At,FM-1093 WESTHEIMER RD,29.737,29.7369,-95.5575,-95.5577,Harris
31,BELTWAY 8-WEST,Southbound,At,BELLFORT,29.6535,29.6537,-95.5505,-95.5501,Harris
32,BELTWAY 8-WEST,Northbound,At,FONDREN,29.6204,29.6207,-95.5085,-95.5084,Harris
33,BELTWAY 8-WEST,Southbound,At,CLAY DR,29.831999999999997,29.831999999999997,-95.5637,-95.5639,Harris
34,BELTWAY 8-WEST,Southbound,At,LITTLE YORK RD,29.8673,29.8673,-95.5637,-95.5637,Harris
35,BELTWAY 8-WEST,Northbound,At,CLAY DR,29.831999999999997,29.831999999999997,-95.5637,-95.5639,Harris
36,BELTWAY 8-WEST,Northbound,At,BRIAR FOREST DR,29.7477,29.7477,-95.5577,-95.5579,Harris
37,BELTWAY 8-WEST,Northbound,At,TANNER RD,29.8503,29.8503,-95.5637,-95.5639,Harris
