latitude_dd,longitude_dd,vdatum,member_name,site_id,site_no,description,networks,state,county,waterbody,horizontal_datum,priority,zone,horizontal_collection_method,perm_housing_installed,peak_summary_id,member_id,peak_date,is_peak_estimated,is_peak_time_estimated,peak_stage,is_peak_stage_estimated,peak_discharge,is_peak_discharge_estimated,vdatum_id,height_above_gnd,is_hag_estimated,time_zone,aep,aep_lowci,aep_upperci,aep_range,calc_notes,last_updated,last_updated_by,member,data_file,hwms,vertical_datums,Links
28.078222,-97.0956388,NAVD88,Jeremy McDowell,20597,TXARA20597,226 COMPONO RIDGE RD,,TX,Aransas County,Corpus Christi Bay,,,,,No,4990,,8/26/2017 5:00:00 PM,1,1,5.52,0,,0,,2.1,,UTC,,,,,Used only HWM - comparable to nearby.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
28.1113889,-97.026694,NAVD88,Jeremy McDowell,20603,TXARA20603,PUBLIC BOAT RAMP ALONG FM 35 OFF ALONG PARKING LOT AND UNDER BRIDGE ON BOTH SIDES.,,TX,Aransas County,Corpus Christi Bay,,,,,No,4991,,8/26/2017 5:00:00 PM,1,1,5.37,1,,0,,0,,UTC,,,,,Average of the two HWM's.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
28.1011944,-97.04683,NAVD88,Jeremy McDowell,20604,TXARA20604,5001 FM 1781,,TX,Aransas County,Corpus Christi Bay,,,,,No,4992,,8/26/2017 5:00:00 PM,1,1,6.11,1,,0,,0,,UTC,,,,,Average of the two HWM's.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
28.1058,-97.04627,NAVD88,Jeremy McDowell,20605,TXARA20605,"Joe Darretta
5191 FM 1781, 78382",,TX,Aransas County,Corpus Christi Bay,,,,,No,5074,,8/25/2017 5:00:00 PM,1,1,6.32,1,,0,,,,UTC,,,,,Average of the 4 confirmed HWMs.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
27.8914444,-97.237333,NAVD88,Jeremy McDowell,20586,TXSAN20586,"POWER PLANT, COUNTY RD 4321",,TX,San Patricio County,Corpus Christi Bay,,,,,No,5109,,8/25/2017 5:00:00 PM,1,1,19.51,1,,0,,0,,UTC,,,,,Average of the 3 HWMs.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
27.8848333,-97.1541944,NAVD88,Jeremy McDowell,20588,TXSAN20588,LOCATED AT ARANSAS PASS PARK OFF JOHNSON AVE. MAY NEED TO CHECK IN AT AREA AS IT NEAR SOLID WASTE COLLECTION AREA,,TX,San Patricio County,Corpus Christi Bay,,,,,No,5110,,8/26/2017 5:00:00 PM,1,1,3.6,1,,0,,0,,UTC,,,,,average,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
27.83755,-97.21978,NAVD88,Jeremy McDowell,20589,TXSAN20589,COVE PARK BOAT RAMP,,TX,San Patricio County,Corpus Christi Bay,,,,,No,5111,,8/26/2017 5:00:00 PM,1,1,4.59,1,,0,,0,,UTC,,,,,average,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
27.9123611,-97.132305,NAVD88,Jeremy McDowell,20591,TXARA20591,"RED FISH BAY MARINA, 150FT OFF ROADWAY.",,TX,Aransas County,Corpus Christi Bay,,,,,No,5112,,8/26/2017 5:00:00 PM,1,1,4.34,1,,0,,0,,UTC,,,,,only hwm here,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
28.36242,-96.81599,NAVD88,Jeremy McDowell,20614,TXREF20614,CREEK BRIDGE,,TX,Refugio County,San Antonio Bay,,,,,No,5113,,8/26/2017 5:00:00 PM,1,1,14.19,1,,0,,0,,UTC,,,,,average,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
28.39095,-96.83952,NAVD88,Jeremy McDowell,20613,TXREF20613,"AUSTWELL COMMUNITY CENTER, BAY STREET",,TX,Refugio County,San Antonio Bay,,,,,No,5114,,8/26/2017 5:00:00 PM,1,1,26.77,0,,0,,1.45,,UTC,,,,,only HWM here,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
