latitude_dd,longitude_dd,state,county,waterbody,peak_date,peak_stage,height_above_gnd
28.078222,-97.0956388,TX,Aransas County,Corpus Christi Bay,8/26/2017 5:00:00 PM,5.52,2.1
28.1113889,-97.026694,TX,Aransas County,Corpus Christi Bay,8/26/2017 5:00:00 PM,5.37,0
28.1011944,-97.04683,TX,Aransas County,Corpus Christi Bay,8/26/2017 5:00:00 PM,6.11,0
28.1058,-97.04627,TX,Aransas County,Corpus Christi Bay,8/25/2017 5:00:00 PM,6.32,
27.8914444,-97.237333,TX,San Patricio County,Corpus Christi Bay,8/25/2017 5:00:00 PM,19.51,0
27.8848333,-97.1541944,TX,San Patricio County,Corpus Christi Bay,8/26/2017 5:00:00 PM,3.6,0
27.83755,-97.21978,TX,San Patricio County,Corpus Christi Bay,8/26/2017 5:00:00 PM,4.59,0
27.9123611,-97.132305,TX,Aransas County,Corpus Christi Bay,8/26/2017 5:00:00 PM,4.34,0
28.36242,-96.81599,TX,Refugio County,San Antonio Bay,8/26/2017 5:00:00 PM,14.19,0
28.39095,-96.83952,TX,Refugio County,San Antonio Bay,8/26/2017 5:00:00 PM,26.77,1.45
28.39027,-96.83914,TX,Refugio County,San Antonio Bay,8/26/2017 5:00:00 PM,10.66,0
28.457063,-96.409267,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,6.12,0
28.44864,-96.40318,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,5.68,0
28.43893,-96.4142,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,3.83,0
28.44199,-96.41255,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,3.78,0
28.42905,-96.43987,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,2.73,0
28.41061,-96.48467,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,2.84,0
28.40971,-96.48402,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,3.71,0
28.41018,-96.4814,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,3.24,0
28.47317,-96.55481,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,7.57,0
29.30927,-95.53909,TX,Brazoria County,oyster creek,9/1/2017 5:00:00 PM,45.08,1.28
29.55767,-95.55251,TX,Brazoria County,oyster creek,9/2/2017 5:00:00 PM,63.87,1.72
28.51071,-96.50956,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,5.45,0
28.517238,-96.505458,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,6.19,1.1
28.512397,-96.48792,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,5.29,2
28.526985,-96.508277,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,6.39,0
28.534832,-96.514361,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,6.98,0
28.553103,-96.523879,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,6.24,2.3
28.553108,-96.522815,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,6.58,3.1
28.560141,-96.538338,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,6.7,3.95
28.576546,-96.565046,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,12.346,0
28.557954,-96.62019,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,15.21,0
28.570737,-96.638581,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,8.07,0
28.578457,-96.650356,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,8.59,0
28.591905,-96.644347,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,8.64,0
28.592815,-96.644708,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,8.82,0
28.606824,-96.617577,TX,Calhoun County,Gulf of Mexico,8/26/2017 5:00:00 PM,9.57,0
28.739352,-96.663501,TX,Jackson County,Gulf of Mexico,8/26/2017 5:00:00 PM,10.39,3.25
28.800518,-96.656201,TX,Jackson County,Gulf of Mexico,8/26/2017 5:00:00 PM,31.158,6.8
28.844957,-96.711747,TX,Victoria County,Gulf of Mexico,8/26/2017 5:00:00 PM,19.54,2.625
