,TXDOT_LANES_AFFECTED,MAINLANES_BLOCKED,FRONTAGE_LANES_BLOCKED,RAMP_LANES_BLOCKED,HOV_LANES_BLOCKED,SHOULDER_LANES_BLOCKED
0,Alternate Lanes,0,3,0,0,0
1,Alternate Lanes,0,0,1,0,0
2,Alternate Lanes,0,3,0,0,0
3,Alternate Lanes,0,0,1,0,0
4,Alternate Lanes,0,3,0,0,0
5,Alternate Lanes,0,3,0,0,0
6,Alternate Lanes,0,0,1,0,0
7,All Main Lanes,0,0,0,0,0
8,All Main Lanes,0,0,0,0,0
9,Alternate Lanes,0,4,0,0,0
10,Alternate Lanes,0,4,0,0,0
11,Alternate Lanes,0,4,1,0,0
12,Alternate Lanes,0,0,0,0,0
13,All Main Lanes,0,0,0,0,0
14,All Main Lanes,0,0,0,0,0
15,Alternate Lanes,0,0,0,0,0
16,Alternate Lanes,0,0,1,0,0
17,Alternate Lanes,0,0,0,0,0
18,Alternate Lanes,0,0,0,0,2
19,All Main Lanes,0,0,2,0,0
20,Alternate Lanes,0,3,0,0,0
21,Alternate Lanes,0,3,0,0,0
22,Alternate Lanes,0,4,0,0,0
23,Alternate Lanes,0,2,0,0,0
24,Alternate Lanes,0,3,0,0,0
25,Alternate Lanes,0,2,0,0,0
26,Alternate Lanes,0,0,1,0,0
27,Alternate Lanes,0,0,1,0,0
28,Alternate Lanes,0,0,1,0,0
29,Alternate Lanes,0,0,0,0,0
30,Alternate Lanes,0,3,0,0,0
31,Alternate Lanes,0,0,0,0,0
32,Alternate Lanes,0,0,0,0,0
33,Alternate Lanes,0,3,0,0,0
34,Alternate Lanes,0,3,0,0,0
35,Alternate Lanes,0,3,0,0,0
36,Alternate Lanes,0,3,0,0,0
37,Alternate Lanes,0,0,1,0,0
38,All Main Lanes,0,0,0,0,0
39,All Main Lanes,0,0,0,0,0
40,All Main Lanes,0,0,0,0,0
41,All Main Lanes,0,0,0,0,0
42,All Main Lanes,0,0,0,0,0
43,Alternate Lanes,0,0,0,0,0
44,Alternate Lanes,0,0,0,0,0
45,All Main Lanes,0,0,0,0,0
46,All Main Lanes,0,0,0,0,0
47,All Main Lanes,0,0,0,0,0
48,All Main Lanes,0,0,0,0,0
49,All Main Lanes,0,0,0,0,0
50,Alternate Lanes,0,0,0,0,0
51,Alternate Lanes,0,0,0,0,0
52,Alternate Lanes,0,0,0,0,0
53,All Main Lanes,0,0,0,0,0
54,All Main Lanes,0,0,0,0,0
55,All Main Lanes,0,0,0,0,0
56,Alternate Lanes,0,0,0,0,0
57,All Main Lanes,0,0,0,0,0
58,All Main Lanes,0,0,0,0,0
59,All Main Lanes,0,0,0,0,0
60,All Main Lanes,0,0,0,0,0
61,All Main Lanes,0,0,0,0,0
62,Alternate Lanes,0,0,0,0,0
63,Alternate Lanes,0,0,0,0,0
64,All Main Lanes,0,0,0,0,0
65,All Main Lanes,0,0,0,0,0
66,All Main Lanes,0,0,0,0,0
67,Alternate Lanes,0,0,0,0,0
68,All Main Lanes,0,3,0,0,0
69,Alternate Lanes,0,0,0,0,0
70,All Main Lanes,0,0,0,0,0
71,All Main Lanes,0,0,0,0,0
72,All Main Lanes,0,0,0,0,0
73,All Main Lanes,0,0,0,0,0
74,All Main Lanes,0,0,0,0,0
75,All Main Lanes,0,0,0,0,0
76,Alternate Lanes,0,0,0,0,0
77,All Main Lanes,0,0,0,0,0
78,All Main Lanes,0,0,0,0,0
79,All Main Lanes,0,0,0,0,0
80,Alternate Lanes,0,0,0,0,0
81,Alternate Lanes,0,0,0,0,0
82,All Main Lanes,0,0,0,0,0
83,Alternate Lanes,1,0,0,0,0
84,All Main Lanes,0,0,0,0,0
85,All Main Lanes,0,0,0,0,0
86,All Main Lanes,0,0,0,0,0
87,All Main Lanes,0,0,0,0,0
88,Alternate Lanes,0,0,1,0,0
89,Alternate Lanes,0,4,1,0,0
90,Alternate Lanes,0,0,1,0,0
91,Alternate Lanes,0,4,1,0,0
92,Alternate Lanes,0,0,1,0,0
93,Alternate Lanes,0,4,1,0,0
94,Alternate Lanes,0,4,1,0,0
95,Alternate Lanes,1,0,0,0,0
96,Alternate Lanes,0,0,0,0,2
97,Alternate Lanes,0,0,1,0,0
98,Alternate Lanes,0,0,1,0,0
99,Alternate Lanes,0,0,1,0,0
100,All Main Lanes,0,0,0,0,0
101,Alternate Lanes,0,0,1,0,0
102,Alternate Lanes,0,0,1,0,0
103,Alternate Lanes,0,0,1,0,0
104,All Main Lanes,0,0,1,0,0
105,All Main Lanes,0,0,1,0,0
106,Alternate Lanes,0,0,1,0,0
107,Alternate Lanes,0,4,1,0,0
108,Alternate Lanes,0,0,1,0,0
109,Alternate Lanes,0,0,0,0,0
110,Alternate Lanes,0,3,0,0,0
111,Alternate Lanes,0,3,0,0,0
112,All Main Lanes,0,0,0,0,0
