   CITY                       ,   LAT,    LON,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,1-Sep,Totals,Sum,IsSum_Total_Same?
8101 N Corrigan,31.08,-95.7,,,,,,,,,7.96,0,0
8167 N Segno,30.42,-96.54,,,,,,,,,16.23,0,0
8196 NNW Moss Hill,30.32,-96.53,,,,,,,,,16.82,0,0
8214 N High Island,29.55,-95.08,,,,,,,,,40.12,0,0
8343 N High Island,28.99,-95.98,,,,,,,,,10.99,0,0
8344 N High Island,28.97,-96.01,,,,,,,,,18.26,0,0
ABERNATHY                     ,33.84,-101.86,,,0,0,,,,,0,0,1
ABERNATHY                     ,33.88,-101.76,,,0,0,,,,,0,0,1
Abernathy 3.2 NNW,33.875827,101.86175,,,0.08,,0.11,,,,0.19,0.19,1
ABILENE                       ,32.41,-99.68,,,0.16,0,,,,,0.16,0.16,1
Abilene 13.0 NNE,32.6167,99.6251,,0.71,0.07,,,,,,0.78,0.78,1
Abilene 3.3 SW,32.41801,99.775791,0,0.52,0.07,0,0,0,0,0,0.59,0.59,1
Abilene 4.7 SE,32.407663,99.680523,0,0.22,0.18,0,0,0,0,0,0.4,0.4,1
Abilene 5.2 S,32.380647,99.756158,0.87,0.09,,,,,,,0.96,0.96,1
Abilene 5.8 SSW,32.374752,99.769294,,0.86,0.1,,,,,,0.96,0.96,1
Abilene 7.8 SSE,32.346794128418,99.6975250244141,0.07,1.72,0.3,0.05,0,0,0,0,2.14,2.14,1
Acala 2.4 NW,31.36449,105.93551,0,0,0,0,0,0,,0,0,0,1
ADDICKS                       ,29.8,-95.77,,,,,5.55,,,,5.55,5.55,1
Addicks 1 ENE,29.79,-95.62,,,,,,,,,33.2,0,0
Addicks 1 SSW,29.76,-95.65,,,,,,,,,36.3,0,0
Addicks Dam,29.790908,-95.62357,0.88,9.12,17.08,5.04,1.32,0,0,,33.44,33.44,1
ADDICKS/ADDICKS RESERVOIR,29.79,-95.62,,,,,,0.23,,,0.23,0.23,1
Adkins 1.8 WNW,29.399282,98.265864,,0.87,2.1,0.47,,,,,3.44,3.44,1
Adkins 6.4 SSE,29.3083,98.1993,0.28,1,3.26,0.92,0,0,0,0,5.46,5.46,1
ALBANY                        ,32.72,-99.3,,,0.01,,,,,,0.01,0.01,1
ALBANY                  15 NNE,32.93,-99.24,,,0.03,,,,,,0.03,0.03,1
Aledo 2.0 W,32.6903,97.6381,0.32,0.07,0.14,0.13,0,,,,0.66,0.66,1
Aledo 2.9 SW,32.664,97.637,0.35,0,0.12,0.13,0,0,0,0,0.6,0.6,1
Aledo 4.1 W,32.6916,97.6745,1.2,,,0.23,,,,,1.43,1.43,1
ALICE                         ,27.74,-98.02,0.02,0.01,0.29,0,0.01,,,,0.33,0.33,1
Allamoore 4.2 SW,31.05561,105.06964,0.15,0,0,0,,,,0,0.15,0.15,1
Alpine 0.7 WSW,30.36085,103.67705,0.39,0,0.02,0,0,0,0,0,0.41,0.41,1
Alpine 49.6 SSE,29.70378,103.33648,0,0,0.1,0,0,0,0,0,0.1,0.1,1
Alpine 7.9 SE,30.276384,103.579714,0.88,0,0,0,0,0,0,0,0.88,0.88,1
ALTAIR                        ,29.58,-96.42,0,6.31,5.54,3.21,1.86,0,0,,16.92,16.92,1
ALVARADO                      ,32.44,-97.22,,,0.07,0.15,0.47,,,,0.69,0.69,1
Alvin  ,29.4122,-95.1787,,,,,,,,,25.94,0,0
Alvin 1.6 SW,29.417609,95.267347,1.3,5.9,8.96,10.8,5.92,0.72,,,33.6,33.6,1
ALVORD                   4 NE,33.39,-97.66,,,0,0,0,0,,,0,0,1
Amarillo 13.6 WSW,35.1588897705078,102.053726196289,0.39,,,0.37,,,,,0.76,0.76,1
Amarillo 2.9 WNW,35.211641,101.869066,,,,,2.2,,0,0,2.2,2.2,1
Amarillo 3.5 SW,35.173376,101.868663,,,,0.12,,,,,0.12,0.12,1
Amarillo 4.5 SE,35.160126,101.759105,,0.79,,0.1,,,,,0.89,0.89,1
Amarillo 4.8 WSW,35.1747627258301,101.896186828613,0.06,0.19,0,0.12,0,0,0,0,0.37,0.37,1
Amarillo 4.9 SSE,35.133904,101.799731,0.09,0.3,,0.11,,,,,0.5,0.5,1
Amarillo 5.0 W,35.196128,101.906196,,,,0.12,,,,,0.12,0.12,1
Amarillo 7.2 SW,35.1270751953125,101.906692504883,0.05,0,0,0.03,0,0,0,0,0.08,0.08,1
Amarillo 9.2 S,35.0700263977051,101.815299987793,0.03,0.05,0,0.03,0,0,,0,0.11,0.11,1
AMISTAD                  7 S,29.46,-101.03,,0.02,,0.02,,,,,0.04,0.04,1
ANAHUAC                  1 ENE,29.78,-94.66,0.56,,,,,,,,0.56,0.56,1
Anahuac Ditch at Hwy 563,29.75215,-94.6733,1.22,4.85,11.26,13.22,10.71,0.2,0,,41.46,41.46,1
Anderson Mill 0.9 WNW,30.459433,97.819685,,0.97,2.2,0.76,,,,,3.93,3.93,1
Anderson Mill 1 SE,30.44,-97.8,,,,,,,,,5.45,0,0
Anderson Mill 1 SW,30.44,-97.82,,,,,,,,,5.84,0,0
Anderson Mill 1.1 ENE,30.4597,97.788,,0.65,2.93,,,,,,3.58,3.58,1
Anderson Mill 2 SSE,30.42,-97.8,,,,,,,,,7.1,0,0
Anderson Mill 2.2 S,30.4223,97.8062,0.49,1.47,4.3,1.23,0.02,0,0,0,7.51,7.51,1
Anderson Mill 3 WSW,30.44,-97.84,,,,,,,,,3.99,0,0
Anderson Mill 5 SSW,30.42,-97.82,,,,,,,,,4.99,0,0
Andice 1.6 SW,30.760289,97.85699,0.03,0.25,1.51,0.85,0,0,0,0,2.64,2.64,1
Andice 2 NE,30.86,-97.77,,,,,,,,,2.37,0,0
ANGLETON                10 SW,29.14,-95.29,0.33,8.05,3.77,2.37,6.37,0.8,0,,21.69,21.69,1
Angleton 1.3 E,29.16962,95.4068,2.13,7.16,3.46,3.3,4.92,0,0,0,20.97,20.97,1
ANGLETON/LAKE JACKSON         ,29.11,-95.46,2.02,5.61,2.34,2.45,5.91,0.16,,,18.49,18.49,1
Anna 0.3 SW,33.34953,96.552523,,0.05,0.03,,,,,,0.08,0.08,1
Anna 3.7 SSW,33.312697,96.582716,0,0.01,0.12,0.01,0,0,0,0,0.14,0.14,1
ANSON                         ,32.77,-99.89,,,0,,,,,,0,0,1
ANTELOPE                      ,33.44,-98.37,,,0,0,0,,,,0,0,1
Anthony 1.0 ENE,31.998891,106.574994,0,0,0,0,0,0,0,0,0,0,1
AQUILLA                  2 S,31.84,-97.21,0.15,0,1.03,0,0,0,,,1.18,1.18,1
