TXDOT_INCIDENT_ID,ROADWAY_NAME,TXDOT_ROADWAY_DIRECTION,TXDOT_CROSS_STREET_QUAL,CROSS_STREET_NAME,LATITUDE_IB_CW,LATITUDE_OB_CCW,LONGITUDE_IB_CW,LONGITUDE_OB_CCW,COUNTY_NAME,TXDOT_INCIDENT_STATUS,TYPE_HAZMAT_SPILL,TYPE_HEAVY_TRUCK,TYPE_HIGH_WATER,TYPE_ICE_ON_ROADWAY,TYPE_LOST_LOAD,TYPE_ROAD_DEBRIS,TYPE_STALL,TYPE_VEHICLE_FIRE,TYPE_OTHER,TYPE_BUS,TYPE_ACCIDENT,TYPE_CONSTRUCTION,MAP_DISPATCHED,DETECTED_BY,WEATHER_CONDITIONS,WEATHER_RAIN,WEATHER_SNOW_ICE,WEATHER_HAIL,WEATHER_FOG,WEATHER_HIGH_WIND,WEATHER_DUST,WEATHER_SMOKE,WEATHER_OTHER,WEATHER_OTHER_TEXT,VISIBILITY,VERIFIED_CCTV,VERIFIED_COMMERCIAL,VERIFIED_MAP,VERIFIED_METRO,VERIFIED_POLICE_CITY,VERIFIED_POLICE_COUNTY,VERIFIED_POLICE_METRO,VERIFIED_POLICE_STATE,VERIFIED_OTHER,RESPONSE_CITY,RESPONSE_CORONER,RESPONSE_COUNTY,RESPONSE_EMS,RESPONSE_FIREDEPT,RESPONSE_HAZMAT,RESPONSE_HCFCD,RESPONSE_MAP,RESPONSE_METRO,RESPONSE_POLICE_CITY,RESPONSE_POLICE_COUNTY,RESPONSE_POLICE_METRO,RESPONSE_POLICE_STATE,RESPONSE_TXDOT,RESPONSE_WRECKER,VEHICLES_INVOLVED,TXDOT_LANES_AFFECTED,MAINLANES_BLOCKED,FRONTAGE_LANES_BLOCKED,RAMP_LANES_BLOCKED,HOV_LANES_BLOCKED,SHOULDER_LANES_BLOCKED,Date Entered,Time Entered,VERIFICATION_DATE_TIME,CLEARED_D,ATE_TIME
483403,BELTWAY 8-EAST,Southbound,At,WALLISVILLE,29.8085,29.8089,-95.1639,-95.1628,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alternate Lanes,0,3,0,0,0,8/26/2017,3:56:00,8/26/2017 3:53,8/26/2017,3:56:00
483428,BELTWAY 8-EAST,Northbound,At,SPENCER HWY,29.6656,29.6656,-95.1558,-95.1556,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Alternate Lanes,0,0,1,0,0,8/26/2017,8:06:00,8/26/2017 8:04,8/26/2017,14:03:00
483678,BELTWAY 8-EAST,Northbound,At,GARRETT,29.883,29.883,-95.1984,-95.1984,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alternate Lanes,0,3,0,0,0,8/27/2017,1:50:00,8/27/2017 1:49,8/30/2017,8:55:00
483768,BELTWAY 8-EAST,Southbound,At,GARRETT,29.883,29.883,-95.1984,-95.1984,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Alternate Lanes,0,0,1,0,0,8/27/2017,8:49:00,8/27/2017 8:49,8/30/2017,9:20:00
483798,BELTWAY 8-EAST,Northbound,At,FAIRMONT PKWY,29.6498,29.6498,-95.1562,-95.1561,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,8,1,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Alternate Lanes,0,3,0,0,0,8/27/2017,11:55:00,8/27/2017 11:54,8/30/2017,8:53:00
483893,BELTWAY 8-EAST,Southbound,At,WALLISVILLE,29.8085,29.8089,-95.1639,-95.1628,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alternate Lanes,0,3,0,0,0,8/27/2017,20:44:00,8/27/2017 20:44,8/31/2017,17:27:00
483438,BELTWAY 8-NORTH,Eastbound,At,LEE RD,29.9396,29.9403,-95.3034,-95.3034,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Alternate Lanes,0,0,1,0,0,8/26/2017,8:44:00,8/26/2017 8:41,8/26/2017,15:43:00
483440,BELTWAY 8-NORTH,Eastbound,At,JOHN F KENNEDY BLVD,29.9392,29.9393,-95.3313,-95.3313,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,All Main Lanes,0,0,0,0,0,8/26/2017,8:46:00,8/26/2017 8:45,8/26/2017,9:49:00
483441,BELTWAY 8-NORTH,Westbound,At,JOHN F KENNEDY BLVD,29.9392,29.9393,-95.3313,-95.3313,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,All Main Lanes,0,0,0,0,0,8/26/2017,8:47:00,8/26/2017 8:46,8/26/2017,9:48:00
483649,BELTWAY 8-NORTH,Westbound,At,IH-69 EASTEX,29.9397,29.9402,-95.296,-95.2957,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Alternate Lanes,0,4,0,0,0,8/27/2017,0:19:00,8/27/2017 0:18,8/30/2017,10:17:00
483650,BELTWAY 8-NORTH,Eastbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Alternate Lanes,0,4,0,0,0,8/27/2017,0:23:00,8/27/2017 0:22,8/29/2017,20:19:00
483653,BELTWAY 8-NORTH,Westbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Alternate Lanes,0,4,1,0,0,8/27/2017,0:27:00,8/27/2017 0:30,8/30/2017,17:17:00
483691,BELTWAY 8-NORTH,Westbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alternate Lanes,0,0,0,0,0,8/27/2017,3:08:00,8/27/2017 3:07,8/29/2017,15:10:00
483705,BELTWAY 8-NORTH,Eastbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,All Main Lanes,0,0,0,0,0,8/27/2017,5:31:00,8/27/2017 5:30,8/29/2017,15:08:00
483708,BELTWAY 8-NORTH,Westbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,All Main Lanes,0,0,0,0,0,8/27/2017,5:33:00,8/27/2017 5:31,8/30/2017,8:18:00
483716,BELTWAY 8-NORTH,Westbound,At,IMPERIAL VALLEY DR,29.9391,29.9394,-95.3972,-95.3971,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alternate Lanes,0,0,0,0,0,8/27/2017,5:49:00,8/27/2017 5:49,8/29/2017,13:02:00
483715,BELTWAY 8-NORTH,Eastbound,At,IH-45 NORTH,29.9405,29.9407,-95.4138,-95.4138,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Alternate Lanes,0,0,1,0,0,8/27/2017,5:49:00,8/27/2017 5:49,8/30/2017,11:19:00
483717,BELTWAY 8-NORTH,Eastbound,At,IMPERIAL VALLEY DR,29.9391,29.9394,-95.3972,-95.3971,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Alternate Lanes,0,0,0,0,0,8/27/2017,5:50:00,8/27/2017 5:50,8/29/2017,13:02:00
483759,BELTWAY 8-NORTH,Eastbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Alternate Lanes,0,0,0,0,2,8/27/2017,8:31:00,8/27/2017 8:29,8/29/2017,15:08:00
483774,BELTWAY 8-NORTH,Westbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,All Main Lanes,0,0,2,0,0,8/27/2017,9:10:00,8/27/2017 9:09,8/29/2017,15:09:00
483872,BELTWAY 8-NORTH,Eastbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alternate Lanes,0,3,0,0,0,8/27/2017,19:20:00,8/27/2017 19:20,8/29/2017,15:09:00
483873,BELTWAY 8-NORTH,Westbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alternate Lanes,0,3,0,0,0,8/27/2017,19:21:00,8/27/2017 19:21,8/29/2017,20:25:00
483911,BELTWAY 8-NORTH,Eastbound,At,GREENS CROSSING BLVD,29.9396,29.9398,-95.4246,-95.4246,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alternate Lanes,0,4,0,0,0,8/27/2017,23:20:00,8/27/2017 23:19,8/29/2017,20:21:00
483549,BELTWAY 8-SOUTH,Eastbound,At,FM-865 CULLEN BLVD,29.598883,29.598883,-95.353293,-95.353293,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Alternate Lanes,0,2,0,0,0,8/26/2017,21:35:00,8/26/2017 21:30,8/30/2017,9:20:00
483548,BELTWAY 8-SOUTH,Westbound,At,FM-865 CULLEN BLVD,29.598883,29.598883,-95.353293,-95.353293,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alternate Lanes,0,3,0,0,0,8/26/2017,21:34:00,8/26/2017 21:33,8/30/2017,10:18:00
483623,BELTWAY 8-SOUTH,Westbound,At,BEAMER,29.600908,29.600908,-95.228645,-95.228645,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alternate Lanes,0,2,0,0,0,8/26/2017,23:32:00,8/26/2017 23:31,8/30/2017,8:22:00
483718,BELTWAY 8-SOUTH,Westbound,At,W. FUQUA,29.605712,29.605712,-95.477028,-95.477028,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Alternate Lanes,0,0,1,0,0,8/27/2017,5:52:00,8/27/2017 5:51,8/30/2017,7:54:00
483760,BELTWAY 8-SOUTH,Westbound,At,W. FUQUA,29.605712,29.605712,-95.477028,-95.477028,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alternate Lanes,0,0,1,0,0,8/27/2017,8:32:00,8/27/2017 8:32,8/30/2017,7:53:00
483761,BELTWAY 8-SOUTH,Eastbound,At,W. FUQUA,29.605712,29.605712,-95.477028,-95.477028,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Alternate Lanes,0,0,1,0,0,8/27/2017,8:34:00,8/27/2017 8:33,8/30/2017,7:55:00
483395,BELTWAY 8-WEST,Northbound,At,US-90 ALTERNATE S. MAIN,29.6261,29.6263,-95.5181,-95.5176,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Alternate Lanes,0,0,0,0,0,8/26/2017,1:25:00,8/26/2017 1:25,8/26/2017,3:45:00
483528,BELTWAY 8-WEST,Southbound,At,FM-1093 WESTHEIMER RD,29.737,29.7369,-95.5575,-95.5577,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alternate Lanes,0,3,0,0,0,8/26/2017,20:52:00,8/26/2017 20:52,8/27/2017,19:42:00
483533,BELTWAY 8-WEST,Southbound,At,BELLFORT,29.6535,29.6537,-95.5505,-95.5501,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Alternate Lanes,0,0,0,0,0,8/26/2017,21:11:00,8/26/2017 21:05,8/28/2017,12:22:00
483537,BELTWAY 8-WEST,Northbound,At,FONDREN,29.6204,29.6207,-95.5085,-95.5084,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Alternate Lanes,0,0,0,0,0,8/26/2017,21:20:00,8/26/2017 21:19,8/26/2017,22:50:00
483582,BELTWAY 8-WEST,Southbound,At,CLAY DR,29.832,29.832,-95.5637,-95.5639,Harris,Cleared,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alternate Lanes,0,3,0,0,0,8/26/2017,22:21:00,8/26/2017 22:19,8/29/2017,15:38:00
